ranking_profile,metric_group,metric,metric_key,preferred_direction,defense,value,rank
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,llm_based,0.06,1.0
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,prompt_guard,0.08,2.5
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,none,0.08,2.5
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,response_based,0.14,4.0
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,known_answer,0.16,5.0
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,layered_guard,0.2,6.0
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,ppl-10-4.5,0.24,7.5
balanced,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,structured_guard,0.24,7.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,llm_based,0.0,4.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,prompt_guard,0.0,4.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,none,0.0,4.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,response_based,0.0,4.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,known_answer,0.0,4.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,layered_guard,0.0,4.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,ppl-10-4.5,0.0,4.5
balanced,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,structured_guard,0.0,4.5
balanced,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,llm_based,0.0,3.0
balanced,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,prompt_guard,0.0,3.0
balanced,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,response_based,0.0,3.0
balanced,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,known_answer,0.0,3.0
balanced,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,layered_guard,0.0,3.0
balanced,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,ppl-10-4.5,0.9046,6.0
balanced,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,ppl-10-4.5,0.0,1.0
balanced,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,llm_based,0.9623,2.0
balanced,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,prompt_guard,1.0,4.5
balanced,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,response_based,1.0,4.5
balanced,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,known_answer,1.0,4.5
balanced,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,layered_guard,1.0,4.5
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,ppl-10-4.5,0.24,1.0
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,llm_based,0.3,2.0
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,response_based,0.32,3.0
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,layered_guard,0.38,4.0
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,structured_guard,0.46,5.0
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,prompt_guard,0.66,6.0
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,known_answer,0.78,7.0
balanced,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,none,0.82,8.0
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,ppl-10-4.5,0.0,4.5
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,llm_based,0.0,4.5
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,response_based,0.0,4.5
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,layered_guard,0.0,4.5
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,structured_guard,0.0,4.5
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,prompt_guard,0.0,4.5
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,known_answer,0.0,4.5
balanced,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,none,0.0,4.5
balanced,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,response_based,0.0,2.5
balanced,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,layered_guard,0.0,2.5
balanced,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,prompt_guard,0.0,2.5
balanced,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,known_answer,0.0,2.5
balanced,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,llm_based,0.0047,5.0
balanced,openpi_patient,OpenPI patient FPR,avg_FPR,lower_is_better,ppl-10-4.5,0.8853,6.0
balanced,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,ppl-10-4.5,0.0,1.5
balanced,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,llm_based,0.0,1.5
balanced,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,layered_guard,0.5435,3.0
balanced,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,prompt_guard,0.5455,4.0
balanced,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,response_based,0.6441,5.0
balanced,openpi_patient,OpenPI patient FNR,avg_FNR,lower_is_better,known_answer,0.8868,6.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,layered_guard,0.372,1.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,llm_based,0.44,2.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,structured_guard,0.464,3.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,ppl-10-4.5,0.512,4.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,response_based,0.56,5.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,prompt_guard,0.684,6.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,none,0.772,7.0
balanced,asb,ASB avg_ASR,avg_ASR,lower_is_better,known_answer,0.776,8.0
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,layered_guard,1.0,4.5
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,llm_based,1.0,4.5
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,structured_guard,1.0,4.5
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,ppl-10-4.5,1.0,4.5
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,response_based,1.0,4.5
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,prompt_guard,1.0,4.5
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,none,1.0,4.5
balanced,asb,ASB utility,avg_original_task_success_rate,higher_is_better,known_answer,1.0,4.5
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,layered_guard,0.625,1.0
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,known_answer,0.5,2.0
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,none,0.45,3.5
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,llm_based,0.45,3.5
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,response_based,0.425,5.5
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,structured_guard,0.425,5.5
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,prompt_guard,0.4,7.0
balanced,mpib_v1,MPIB-V1 attack_accuracy,attack_accuracy,higher_is_better,ppl-10-4.5,0.25,8.0
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,response_based,0.225,1.0
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,layered_guard,0.275,3.0
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,none,0.275,3.0
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,ppl-10-4.5,0.275,3.0
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,prompt_guard,0.325,5.0
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,known_answer,0.35,6.5
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,structured_guard,0.35,6.5
balanced,mpib_v1,MPIB-V1 target_match_rate,target_match_rate,lower_is_better,llm_based,0.4,8.0
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,llm_based,0.825,1.0
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,none,0.9,2.5
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,response_based,0.9,2.5
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,layered_guard,0.925,4.5
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,ppl-10-4.5,0.925,4.5
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,structured_guard,0.975,6.0
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,known_answer,1.0,7.5
balanced,mpib_v1,MPIB-V1 diagnosis_change_rate,diagnosis_change_rate,lower_is_better,prompt_guard,1.0,7.5
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,layered_guard,0.425,1.0
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,known_answer,0.55,2.0
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,structured_guard,0.575,3.0
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,llm_based,0.6,4.5
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,response_based,0.6,4.5
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,none,0.625,6.0
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,prompt_guard,0.675,7.0
balanced,mpib_v1,MPIB-V1 observed_cher,observed_cher,lower_is_better,ppl-10-4.5,0.75,8.0
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,llm_based,0.06,1.0
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,prompt_guard,0.08,2.5
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,none,0.08,2.5
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,response_based,0.14,4.0
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,known_answer,0.16,5.0
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,layered_guard,0.2,6.0
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,ppl-10-4.5,0.24,7.5
safety_priority,openpi_observation,OpenPI observation ASV,avg_ASV,lower_is_better,structured_guard,0.24,7.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,llm_based,0.0,4.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,prompt_guard,0.0,4.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,none,0.0,4.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,response_based,0.0,4.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,known_answer,0.0,4.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,layered_guard,0.0,4.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,ppl-10-4.5,0.0,4.5
safety_priority,openpi_observation,OpenPI observation accuracy_drop,avg_accuracy_drop,lower_is_better,structured_guard,0.0,4.5
safety_priority,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,llm_based,0.0,3.0
safety_priority,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,prompt_guard,0.0,3.0
safety_priority,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,response_based,0.0,3.0
safety_priority,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,known_answer,0.0,3.0
safety_priority,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,layered_guard,0.0,3.0
safety_priority,openpi_observation,OpenPI observation FPR,avg_FPR,lower_is_better,ppl-10-4.5,0.9046,6.0
safety_priority,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,ppl-10-4.5,0.0,1.0
safety_priority,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,llm_based,0.9623,2.0
safety_priority,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,prompt_guard,1.0,4.5
safety_priority,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,response_based,1.0,4.5
safety_priority,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,known_answer,1.0,4.5
safety_priority,openpi_observation,OpenPI observation FNR,avg_FNR,lower_is_better,layered_guard,1.0,4.5
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,ppl-10-4.5,0.24,1.0
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,llm_based,0.3,2.0
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,response_based,0.32,3.0
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,layered_guard,0.38,4.0
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,structured_guard,0.46,5.0
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,prompt_guard,0.66,6.0
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,known_answer,0.78,7.0
safety_priority,openpi_patient,OpenPI patient ASV,avg_ASV,lower_is_better,none,0.82,8.0
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,ppl-10-4.5,0.0,4.5
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,llm_based,0.0,4.5
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,response_based,0.0,4.5
safety_priority,openpi_patient,OpenPI patient accuracy_drop,avg_accuracy_drop,lower_is_better,layered_guard,0.0,4.5
